GBP/USD,20150101 22:07:12.692,1.55762,1.55909
GBP/USD,20150101 22:07:12.712,1.55775,1.55897
GBP/USD,20150101 22:07:12.796,1.55785,1.55881
GBP/USD,20150101 22:07:14.778,1.55789,1.55882
GBP/USD,20150101 22:07:15.871,1.55792,1.55884
GBP/USD,20150101 22:07:17.784,1.55792,1.55876
GBP/USD,20150101 22:07:19.415,1.55796,1.55877
GBP/USD,20150101 22:07:20.637,1.558,1.5588
GBP/USD,20150101 22:07:21.681,1.55803,1.55882
GBP/USD,20150101 22:07:23.288,1.55803,1.55879
GBP/USD,20150101 22:07:24.288,1.55806,1.55878
GBP/USD,20150101 22:07:25.466,1.55805,1.55883
GBP/USD,20150101 22:07:26.446,1.5581,1.55877
GBP/USD,20150101 22:07:26.471,1.55806,1.55883
GBP/USD,20150101 22:07:27.476,1.55805,1.55882
GBP/USD,20150101 22:07:28.897,1.55807,1.55884
GBP/USD,20150101 22:07:31.907,1.55811,1.55881
GBP/USD,20150101 22:07:32.922,1.5581,1.55885
GBP/USD,20150101 22:07:34.927,1.55816,1.55879
GBP/USD,20150101 22:07:34.943,1.5581,1.55884
GBP/USD,20150101 22:07:35.996,1.55811,1.55885
GBP/USD,20150101 22:07:37.956,1.55813,1.55882
GBP/USD,20150101 22:07:39.012,1.55811,1.55885
GBP/USD,20150101 22:07:40.016,1.5581,1.55885
GBP/USD,20150101 22:07:42.971,1.55799,1.55896
GBP/USD,20150101 22:07:43.009,1.55804,1.55887
GBP/USD,20150101 22:07:44.012,1.55804,1.55881
GBP/USD,20150101 22:07:45.057,1.55807,1.55883
GBP/USD,20150101 22:07:48.066,1.55808,1.55884
GBP/USD,20150101 22:07:50.696,1.55813,1.55877
GBP/USD,20150101 22:07:50.717,1.55808,1.55883
GBP/USD,20150101 22:07:51.771,1.55809,1.55884
GBP/USD,20150101 22:08:00.507,1.55817,1.55876
GBP/USD,20150101 22:08:00.512,1.55801,1.55891
GBP/USD,20150101 22:08:00.532,1.55808,1.55883
GBP/USD,20150101 22:08:01.343,1.55807,1.55882
GBP/USD,20150101 22:08:02.552,1.55808,1.55883
GBP/USD,20150101 22:08:16.537,1.55816,1.55875
GBP/USD,20150101 22:08:16.542,1.558,1.55889
GBP/USD,20150101 22:08:16.563,1.55808,1.55882
GBP/USD,20150101 22:08:18.551,1.55809,1.55878
GBP/USD,20150101 22:08:19.707,1.55806,1.55881
GBP/USD,20150101 22:08:20.912,1.55803,1.55885
GBP/USD,20150101 22:08:20.927,1.55794,1.5589
GBP/USD,20150101 22:08:21.002,1.55798,1.5588
GBP/USD,20150101 22:08:22.110,1.55803,1.55875
GBP/USD,20150101 22:08:23.152,1.55804,1.5588
GBP/USD,20150101 22:08:24.637,1.55801,1.55884
GBP/USD,20150101 22:08:26.048,1.55802,1.55879
GBP/USD,20150101 22:08:31.286,1.55805,1.55882
GBP/USD,20150101 22:08:32.292,1.55805,1.55881
GBP/USD,20150101 22:08:34.302,1.55806,1.55882
GBP/USD,20150101 22:08:36.536,1.55815,1.55874
GBP/USD,20150101 22:08:36.542,1.55799,1.55889
GBP/USD,20150101 22:08:36.562,1.55806,1.55881
GBP/USD,20150101 22:08:37.628,1.55803,1.55884
GBP/USD,20150101 22:08:38.647,1.55802,1.55883
GBP/USD,20150101 22:08:44.831,1.55803,1.55885
GBP/USD,20150101 22:08:51.337,1.55788,1.55904
GBP/USD,20150101 22:08:51.371,1.55791,1.55894
GBP/USD,20150101 22:08:51.421,1.55794,1.55885
GBP/USD,20150101 22:08:51.462,1.55795,1.55874
GBP/USD,20150101 22:08:53.127,1.55797,1.55876
GBP/USD,20150101 22:08:53.603,1.55798,1.55883
GBP/USD,20150101 22:08:54.661,1.55802,1.55881
GBP/USD,20150101 22:08:55.886,1.55807,1.55878
GBP/USD,20150101 22:08:57.136,1.55806,1.55882
GBP/USD,20150101 22:08:58.912,1.55812,1.55876
GBP/USD,20150101 22:08:58.930,1.55806,1.55881
GBP/USD,20150101 22:08:59.982,1.55806,1.55882
GBP/USD,20150101 22:09:04.317,1.55813,1.55873
GBP/USD,20150101 22:09:04.322,1.55797,1.55888
GBP/USD,20150101 22:09:04.343,1.55807,1.55882
GBP/USD,20150101 22:09:05.367,1.55807,1.55878
GBP/USD,20150101 22:09:06.506,1.55806,1.55882
GBP/USD,20150101 22:09:07.847,1.55808,1.55878
GBP/USD,20150101 22:09:09.337,1.55805,1.55881
GBP/USD,20150101 22:09:10.636,1.55803,1.55886
GBP/USD,20150101 22:09:11.864,1.55804,1.55881
GBP/USD,20150101 22:09:13.051,1.55805,1.55882
GBP/USD,20150101 22:09:14.356,1.55802,1.55885
GBP/USD,20150101 22:09:15.371,1.55802,1.55879
GBP/USD,20150101 22:09:18.145,1.5581,1.55875
GBP/USD,20150101 22:09:18.163,1.55804,1.5588
GBP/USD,20150101 22:09:19.178,1.55805,1.55881
GBP/USD,20150101 22:09:20.181,1.55806,1.55882
GBP/USD,20150101 22:09:21.386,1.55802,1.55885
GBP/USD,20150101 22:09:22.181,1.55794,1.55892
GBP/USD,20150101 22:09:22.218,1.55801,1.55884
GBP/USD,20150101 22:09:23.221,1.558,1.55879
GBP/USD,20150101 22:09:24.316,1.55803,1.5588
GBP/USD,20150101 22:09:24.704,1.55803,1.55845
GBP/USD,20150101 22:09:25.402,1.558,1.55845
GBP/USD,20150101 22:09:27.322,1.55796,1.55845
GBP/USD,20150101 22:09:27.328,1.55777,1.55845
GBP/USD,20150101 22:09:27.347,1.55787,1.55845
GBP/USD,20150101 22:09:27.392,1.55798,1.55845
GBP/USD,20150101 22:09:28.596,1.55801,1.55845
GBP/USD,20150101 22:09:29.776,1.55802,1.55845
GBP/USD,20150101 22:09:32.211,1.55808,1.55845
GBP/USD,20150101 22:09:32.441,1.55802,1.55845
GBP/USD,20150101 22:09:36.544,1.55809,1.55845
GBP/USD,20150101 22:09:36.549,1.55794,1.55845
GBP/USD,20150101 22:09:36.569,1.55803,1.55845
GBP/USD,20150101 22:09:36.578,1.55803,1.55848
GBP/USD,20150101 22:09:47.489,1.55811,1.55848
GBP/USD,20150101 22:09:47.494,1.55794,1.55848
GBP/USD,20150101 22:09:47.515,1.558,1.55848
GBP/USD,20150101 22:09:48.630,1.55803,1.55848
GBP/USD,20150101 22:09:49.631,1.55802,1.55848
GBP/USD,20150101 22:09:51.009,1.55808,1.55848
GBP/USD,20150101 22:09:51.023,1.55804,1.55848
